Type,Built,Status,Company,Group Company,Operator,Builder,Flag State,SOx Scrubber Status,Power Type,Current Global Zone,Current National Waters,Name,GT,Dwt,MMSI (Maritime Mobile Service Identity),IMO Number,Speed (knots),Engine Derived Total Main Engine Mechanical kW
Bulk Carrier,2006,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Shanghai Waigaoqiao,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Ventura I,"88,930","174,316",636022613,9346756,14.25,"16,852"
Fully Cellular Container,2017,In Service,Zhonggu Logistics,Zhonggu Shipping,Maersk,CSC Jinling Shipyard,China P.R.,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Zhong Gu Xia Men,"28,433","40,584",414324000,9810240,15.00,"7,700"
Tanker,2012,In Service,Delta Tankers,Marmaras Navigation,Delta Tankers,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Delta Supreme,"81,187","159,031",636021882,9585895,12.00,"15,720"
Bulk Carrier,1984,In Service,SMT Shipping,SMT Shipping,SMT Shipping,Hyundai HI (Ulsan),Bahamas,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Bontrup Amsterdam,"35,904","65,402",308271000,8110681,15.00,"9,690"
Ore Carrier,2009,In Service,Mitsui OSK Lines,Mitsui OSK Lines,,Mitsui SB (Chiba),Panama,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Global Harmony,"160,774","327,095",357156000,9340001,17.50,"23,640"
Fully Cellular Container,2002,In Service,SFL Corporation,Fredriksen Group,MSC,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,East Coast North America,,MSC Vaishnavi R.,"45,803","53,328",636016431,9227340,25.00,"51,480"
Fully Cellular Container,1999,In Service,MSC,MSC,MSC,MHI Kobe,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,MSC Floriana VI,"69,218","63,388",636022985,9168831,25.00,"48,631"
Fully Cellular Container,2021,In Service,Seaspan Corporation,Atlas Corp (Seaspan),MSC,Jiangsu New YZJ,Liberia,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Netherlands,MSC Rayshmi,"113,697","128,877",636021122,9785457,22.00,"54,960"
Ore Carrier,2007,In Service,Cape Shipping,Cape Shipping,Cape Shipping,Mitsui SB (Chiba),Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,,Cape Apollo,"113,628","229,548",538010774,9324136,13.40,"21,840"
Fully Cellular Container,2000,In Service,MSC,MSC,MSC,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,MSC Sarah V,"53,208","67,600",636018320,9181675,24.00,"41,175"
Bulk Carrier,2014,Repairs,Berge Bulk,Berge Bulk,,Jinhai Heavy Ind,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Berge Orizaba,"91,971","175,656",636019097,9567087,14.90,"14,331"
Fully Cellular Container,2010,In Service,OOCL,China COSCO Shipping,OOCL,Samsung HI,Hong Kong,Pending,Diesel 2-Stroke,East Asia,People's Republic Of China,OOCL Le Havre,"40,168","50,580",477655700,9404857,24.00,"36,560"
Chemical & Oil Carrier,2014,In Service,TORM A/S,TORM A/S,TORM A/S,Hyundai Mipo,Danish Int'l,Fitted,Diesel 2-Stroke,South East Asia,,Torm Durga,"29,553","49,680",219647000,9682382,14.00,"7,700"
Fully Cellular Container,1999,In Service,MSC,MSC,MSC,Samsung HI,Panama,Fitted,Diesel 2-Stroke,East Coast North America,,MSC Ingrid,"53,208","67,678",354505000,9181651,23.00,"41,175"
Chemical Parcel Tanker,2008,In Service,M.H. Simonsen,M.H. Simonsen,M.H. Simonsen,Desan Deniz,Danish Int'l,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Orasund,"3,691","4,975",220514000,9336701,15.50,"3,250"
Fully Cellular Container,2009,In Service,Hammonia Reederei,Hammonia Reederei,Maersk,Hyundai Samho HI,Singapore,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Maersk Amazon,"91,158","108,574",563103400,9398395,24.50,"68,520"
Fully Cellular Container,2008,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,West Coast South America,,COSCO America,"114,394","109,950",352631000,9345427,25.80,"68,640"
Tanker,2018,In Service,DHT Management,DHT Holdings,DHT Management,Daewoo (DSME),Hong Kong,Fitted,Diesel 2-Stroke,East Coast North America,,DHT Stallion,"163,571","319,713",477372800,9813448,16.30,"25,325"
Bulk Carrier,2012,In Service,Mifuku Kaiun,Mifuku Kaiun,Mifuku Kaiun,Tsuneishi Tadotsu SB,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast South America,,Mont Fort,"43,013","82,250",538009428,9582843,13.40,"9,710"
Tanker,2008,In Service,AET Tankers,Petronas,AET Tankers,Universal SB Ariake,Malaysia,Fitted,Diesel 2-Stroke,Middle East,,Bunga Kasturi Enam,"157,209","298,500",533040000,9327554,15.30,"25,480"
Fully Cellular Container,2007,In Service,MSC,MSC,MSC,Samsung HI,Panama,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Turkey,MSC Pina,"107,849","112,053",372973000,9339272,25.00,"68,490"
Fully Cellular Container,2002,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,MSC Shanghai V,"53,453","54,760",636021160,9231822,24.00,"41,130"
Fully Cellular Container,1999,In Service,MSC,MSC,MSC,MHI Kobe,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,MSC Unific VI,"69,218","63,388",636022984,9168843,25.00,"48,631"
Chemical & Oil Carrier,2018,In Service,Sangji Shipping,Sangji Shipping,Gs-Caltex Corp,Hyundai Mipo,South Korea,Fitted,Diesel 2-Stroke,East Asia,South Korea,Korea Venus,"29,404","50,542",441791000,9821847,14.50,"10,320"
Bulk Carrier,2005,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Imabari SB Saijo,Liberia,Fitted,Diesel 2-Stroke,South East Asia,,Montecristo,"90,091","180,263",636022201,9325025,14.50,"18,660"
Fully Cellular Container,1999,In Service,MSC,MSC,MSC,HHIC (Yeongdo),Panama,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,MSC Regina,"40,631","56,890",357332000,9202651,23.70,"29,179"
Pass./Car Ferry,2018,In Service,Irish Ferries,Irish Continental,Irish Ferries,Flensburger SB,Cyprus,Fitted,Diesel 4-Stroke,United Kingdom/Continent,United Kingdom,W. B. Yeats,"51,388","7,859",209146000,9809679,22.50,"32,000"
Product Carrier,2008,In Service,Fearnley Finans,Fearnley Finans,Heidmar,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,East Coast South America,Argentina,Afra Mare,"57,773","105,348",370309000,9404936,14.50,"13,560"
Chemical & Oil Carrier,2014,In Service,Sinokor Merchant,Sinokor Merchant,Shell Tank Singapore,Hyundai Mipo,Panama,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Silver Gwen,"29,460","49,746",356307000,9683362,14.00,"7,700"
Ro-Ro/Container,2000,In Service,Atlantic Cont Line,Grimaldi Group,Atlantic Cont Line,Fincantieri Palermo,Malta,Fitted,Diesel 2-Stroke,United Kingdom/Continent,United Kingdom,Grande Brasile,"56,660","26,169",215664000,9198123,20.00,"15,539"
Ro-Ro/Container,2009,In Service,Grimaldi Group,Grimaldi Group,Grimaldi Group,Uljanik Brod.,Italy,Fitted,Diesel 2-Stroke,West Coast Africa,Sierra Leone,Grande Benin,"47,218","26,097",247275400,9343170,21.30,"19,042"
Bulk Carrier,2012,In Service,K-Line,K-Line,K-Line,Shanghai Waigaoqiao,Panama,Fitted,Diesel 2-Stroke,East Coast Africa,,JSW Salem,"91,412","176,217",373217000,9537721,15.00,"16,860"
Chemical Parcel Tanker,2009,In Service,Koyo Kaiun,Koyo Kaiun,Koyo Kaiun,Asakawa Shipbuilding,Panama,Fitted,Diesel 2-Stroke,South East Asia,Thailand,Whitney,"8,417","14,206",356876000,9551337,13.40,"4,440"
