Name,IMO Number,Status,SOx Scrubber 1 Technology Type,SOx Scrubber 1 Retrofit Date,SOx Scrubber Status
Alma,9706530,In Service,TBC,23. Mar 25,Fitted
MSC Orion,9857157,In Service,Hybrid,22. Mar 25,Fitted
Evmar,9738026,In Service,TBC,14. Mar 25,Fitted
OOCL Charleston,9461790,In Service,TBC,12. Mar 25,Fitted
Pacific Champ,9856244,In Service,Open Loop,12. Mar 25,Fitted
MSC Giovanna VII,9153850,In Service,Hybrid,11. Mar 25,Fitted
Samskip Kvitbjorn,9642564,In Service,TBC,11. Mar 25,Fitted
Chinafrie Luck,9298480,In Service,Open Loop,08. Mar 25,Fitted
Chinafrie Spring,9557862,In Service,Open Loop,08. Mar 25,Fitted
MSC United VIII,9302619,In Service,TBC,07. Mar 25,Fitted
Union Peace,9339973,In Service,Open Loop,05. Mar 25,Fitted
MSC Perle,9503732,In Service,Hybrid,04. Mar 25,Fitted
Interasia Horizon,9351050,In Service,Open Loop,01. Mar 25,Fitted
FWN Sea,9721657,In Service,TBC,01. Mar 25,Fitted
Atlantic Affinity,9803352,In Service,Open Loop,27. Feb 25,Fitted
Nexus Victoria,9610389,In Service,Open Loop,22. Feb 25,Fitted
Rosebank,9447172,In Service,Open Loop,18. Feb 25,Fitted
Nicholas GS,9451264,In Service,Open Loop,16. Feb 25,Fitted
YM Enlightenment,9496604,In Service,TBC,14. Feb 25,Fitted
Cosmar,9710593,In Service,TBC,11. Feb 25,Fitted
MSC Yang R,9227285,In Service,TBC,08. Feb 25,Fitted
Jia Chen,9336593,In Service,TBC,04. Feb 25,Fitted
Tataki,9410210,In Service,Open Loop,28. Jan 25,Fitted
MSC Nassau IV,9471226,In Service,Hybrid,26. Jan 25,Fitted
Torm Gabriella,9428994,In Service,Open Loop,26. Jan 25,Fitted
MSC Adu V,9293466,In Service,Hybrid,25. Jan 25,Fitted
Lumin,9330599,In Service,Open Loop,24. Jan 25,Fitted
Torm Philippines,9440136,In Service,Open Loop,24. Jan 25,Fitted
Yu Xiao 6,9279783,In Service,TBC,22. Jan 25,Fitted
Almi Hercules,9583732,In Service,Open Loop,22. Jan 25,Fitted
Pacific Glory,9759953,In Service,Open Loop,20. Jan 25,Fitted
MSC Shahar,9471238,In Service,Hybrid,19. Jan 25,Fitted
Impalas,9171448,In Service,TBC,17. Jan 25,Fitted
OOCL Dalian,9445526,In Service,Open Loop,16. Jan 25,Fitted
OTSL Hera,9539602,In Service,Open Loop,15. Jan 25,Fitted
Xin Yu,9483310,In Service,Open Loop,11. Jan 25,Fitted
Torm Dagmar,9702209,In Service,Open Loop,11. Jan 25,Fitted
OOCL Atlanta,9285005,In Service,Open Loop,07. Jan 25,Fitted
Jolly Oro,9450313,In Service,Open Loop,06. Jan 25,Fitted
MSC Glory R,9210062,In Service,TBC,05. Jan 25,Fitted
Heng Long,9498327,In Service,Open Loop,04. Jan 25,Fitted
MSC Istanbul,9606326,In Service,Hybrid,01. Jan 25,Fitted
Platanos,9825477,In Service,Open Loop,24. Dec 24,Fitted
OOCL Seoul,9417244,In Service,TBC,23. Dec 24,Fitted
MSC Eleonora III,9064750,In Service,Hybrid,20. Dec 24,Fitted
Hansa Europe,9459412,In Service,Open Loop,20. Dec 24,Fitted
Great Qin,9526667,In Service,Open Loop,20. Dec 24,Fitted
YM Milestone,9484998,In Service,Open Loop,19. Dec 24,Fitted
MSC Teresa,9469560,In Service,Hybrid,18. Dec 24,Fitted
Eastar Faith,9398137,In Service,Open Loop,18. Dec 24,Fitted
WEC Van Gogh,9246566,In Service,Hybrid,18. Dec 24,Fitted
MSC Shay,9393022,In Service,Hybrid,17. Dec 24,Fitted
AC Youth,9401506,In Service,Open Loop,16. Dec 24,Fitted
Yuan Lian Wan,9845960,In Service,Open Loop,13. Dec 24,Fitted
Wen Chang Star,9337145,In Service,Open Loop,10. Dec 24,Fitted
MSC Pratiti,9280861,In Service,Open Loop,10. Dec 24,Fitted
Hedy Lamarr,9498743,In Service,Open Loop,09. Dec 24,Fitted
Star Europe,9753351,In Service,Open Loop,09. Dec 24,Fitted
Amemptos,9867140,In Service,Open Loop,09. Dec 24,Fitted
Advantage Spice,9419888,In Service,Open Loop,08. Dec 24,Fitted
Dong Fang Ji Diao,9463334,In Service,Open Loop,06. Dec 24,Fitted
Ferae Australis,9869514,In Service,Open Loop,04. Dec 24,Fitted
Vancouver Express,9667186,In Service,Open Loop,02. Dec 24,Fitted
